ARC,1,2,3,4,5,6,mean,desvest,confidence interval
dfrA1,0.9278149944,0.9285318262,0.9303424462,0.929626134,0.9419301907,0.9301832169,0.9314048014,0.00524802905,0.004199220661
dfrA5,0.9759745399,0.9601994342,0.9613129404,0.9554728468,0.9677319047,0.9729253266,0.9656028321,0.007949096564,0.00636048509
dfrA6,0.9150098698,0.9268521293,0.9214773003,0.9180075215,0.9164330689,0.8629205985,0.9101167481,0.02350623117,0.01880855663
dfrA7,0.8146880024,0.8369372935,0.8546229193,0.8810914732,0.8872605774,0.879132049,0.8589553858,0.02884945707,0.02308394923
dfrA12,0.9663053518,0.9352843472,0.9274876973,0.9204574996,0.8957849819,0.9803589616,0.9376131399,0.03099131156,0.02479775827
dfrA14,0.9910118343,0.9719144169,0.9747410863,0.978752182,0.9885256181,0.9824543703,0.9812332513,0.007555594175,0.006045623388
dfrA15,0.9566451533,0.9593920464,0.9653722978,0.9523877652,0.9650079879,0.9637754348,0.9604301142,0.005227928225,0.004183136947
dfrA16,0.9364935887,0.9546687579,0.9619675526,0.9569440004,0.9678535476,0.9668052008,0.9574554413,0.01151802246,0.009216168097
dfrA17,0.9432827255,0.9455857747,0.9425733742,0.9400680917,0.9482857349,0.9545860032,0.945730284,0.005157364023,0.004126674863
dfrA21,1.022773517,1.003241949,0.9897686079,1.030022206,1.009301258,1.010920476,1.011004669,0.01424297241,0.0113965421
dfrA22,1.018703166,1.012801853,0.9990624995,1.034765282,1.021278952,0.9906943559,1.012884351,0.01591571133,0.0127349874
dfrA25,0.9775456144,0.9769310972,0.9879228136,1.011709255,0.9747927965,0.9598849268,0.9814644172,0.01733524751,0.01387083204
dfrA27,0.9396571151,0.9453740508,0.9525830456,0.9649804138,0.9400115976,0.932321365,0.9458212647,0.01154981333,0.009241605617
dfrA29,0.9767619382,0.9918760271,1.004735593,0.9948082758,1.011401132,1.001090672,0.9967789397,0.01203586554,0.009630521245
dfrA30,0.9838756597,0.9756552892,0.987887767,0.9983730826,0.9870772433,0.9686781731,0.9835912025,0.01033997109,0.008273547997
dfrA31,0.8889525254,0.9059580831,0.915649419,0.9620102976,0.9157130821,0.8843592752,0.9121071137,0.02778404859,0.02223146057
dfrA34,1.011846972,1.003994258,0.9980100523,0.9782799316,0.9942735163,0.9741259363,0.9934217777,0.01466047635,0.01173060869
dfrA35,0.9753313042,0.9893950716,0.9853328579,0.9286144718,0.9727157472,0.9382924033,0.964946976,0.02534560611,0.02028033607
dfrB1,0.9751804344,0.9641458242,0.9749522689,0.9652766439,0.9697697948,1.002586059,0.9753185043,0.01414304543,0.01131658533
dfrB2,0.9929693286,1.030182192,1.011417324,0.9709081865,0.9916199463,1.001039353,0.9996893884,0.02003901513,0.01603425697
dfrB3,0.9561415083,0.9539698023,0.9545020359,0.9642697157,0.9482491374,0.9727533246,0.958314254,0.008756585512,0.007006598944
dfrB4,0.8788522376,0.8870251109,0.8837887478,0.9030254514,0.8976218014,0.9219690444,0.8953803989,0.01579736758,0.01264029442
dfrB5,1.042706268,0.9980329078,1.00994846,0.9700898819,1.000790432,0.9754660209,0.9995056618,0.0261624023,0.02093389713
dfrB6,0.9904108249,0.9767936319,0.9779095544,0.9809934841,0.9700555563,0.9730647654,0.9782046362,0.007094681072,0.005676822871
dfrB7,1.018484778,0.9881906041,0.9950162778,0.9950517482,0.999349267,0.9841438122,0.9967060812,0.01197676306,0.009583230281
dfrB8,0.9729799402,0.9519616373,0.9566226148,0.9558896522,0.9616105568,0.9502998944,0.9582273826,0.008236852792,0.006590733796
dfrB9,0.9596037404,0.9648306068,0.9713820118,0.9577402656,0.9710311033,0.9748970809,0.9665808015,0.006955788208,0.005565687476
BEL1,0.9892872656,0.9885878529,0.9875303692,0.9892102987,0.9913245934,0.9966737484,0.9904356881,0.003297859162,0.002638788429
GES1,0.971122803,0.9615240287,0.9717689135,0.9786103443,0.9698475624,0.9798821839,0.9721259726,0.006647286645,0.005318839349
IMP2,0.9351563054,0.925542425,0.9298853679,0.9442472011,0.9346724834,0.9278224226,0.9328877009,0.006723011,0.005379430339
IMP31,0.8298190332,0.805705042,0.83139659,0.8212464056,0.8102044405,0.815882126,0.8190422729,0.0103884691,0.008312353777
OXA1,0.898705183,0.8768593821,0.885417789,0.9131460181,0.901985713,0.8793518879,0.8925776622,0.01429940149,0.01144169394
OXA2,0.8530607736,0.8419954687,0.8551074542,0.8464724252,0.8341661559,0.8383028142,0.8448508486,0.008251338595,0.006602324639
