label,Vmax,K,c,target_w,achieved_w,abs_err,loss,fA_end,fB_end,Environment,family,pair_idx
aadB,0.9057626194827404,1.99647,1.0382939138166527e-09,0.7845616157,0.7861341837819845,0.0015725680819844,5.789832746973649e-07,0.440240026115536,0.5597599738844639,E,aa,0
aadB,0.9342812597205952,1.99647,1.1879757076861812e-09,0.9588749983,0.9585427572425712,0.0003322410574286,1.2650470401157188e-06,0.4894650404451967,0.5105349595548033,G,aa,0
aacA30,0.9156411345228528,1.99647,1.1671798287689199e-09,0.8422467919,0.8427468869899224,0.0005000950899224,8.79646084170733e-07,0.456998186807183,0.5430018131928168,E,aa,1
aacA30,0.9270505298991326,1.99647,1.221362337948477e-09,0.9120629366,0.9126916108829658,0.0006286742829657,1.84513317087034e-06,0.4768504054712145,0.5231495945287855,G,aa,1
aacC4,0.9187333827692604,1.99647,1.0798065988763415e-09,0.8598064731,0.8609709570933357,0.0011644839933356,3.478422843786404e-07,0.4627543660362193,0.5372456339637807,E,aa,2
aacC4,0.94044050364832,1.99647,1.104349489867503e-09,1.000136119,0.9997101557888208,0.000425963211179,1.29607390330161e-07,0.4999550666587205,0.5000449333412794,G,aa,2
aacAX,0.9200463157352544,1.99647,1.0652381066276874e-09,0.8676385261,0.868250760254137,0.000612234154137,9.916127526575283e-08,0.4649482431725722,0.5350517568274278,E,aa,3
aacAX,0.9335045942502668,1.99647,1.1609112687054091e-09,0.9538384753,0.9530107226627332,0.0008277526372668,7.496722006599284e-07,0.4880381189672074,0.5119618810327925,G,aa,3
aacA64,0.9221208813583984,1.99647,1.121244784473432e-09,0.8813702093,0.8811541705905359,0.000216038709464,2.909031074784008e-07,0.4686025686167657,0.5313974313832343,E,aa,4
aacA64,0.9290184632065812,1.99647,1.1145611997220935e-09,0.9236372511,0.9241035215741968,0.0004662704741967,2.080230347891333e-07,0.4800861807066508,0.5199138192933491,G,aa,4
aacA28,0.9235306461058022,1.99647,1.2176248510572051e-09,0.8896989795,0.8902527275820074,0.0005537480820073,1.77767355273258e-06,0.4711108673357103,0.5288891326642897,E,aa,5
aacA28,0.9278136326476812,1.99647,1.0911742002828101e-09,0.9154643556,0.915637396882886,0.0001730412828859,1.146789878800869e-07,0.4780813878322799,0.52191861216772,G,aa,5
aacC3,0.9247805501648064,1.99647,1.134325421278693e-09,0.8974388003,0.897452934543693,1.4134243693009196e-05,4.0577164851477973e-07,0.472782153992058,0.5272178460079419,E,aa,6
aacC3,0.9368315517554332,1.99647,1.0966646723701896e-09,0.9750809565,0.9750895409377772,8.584437777292564e-06,7.994331255842252e-08,0.4939099114664182,0.5060900885335817,G,aa,6
aadA13,0.9280262474167636,1.99647,1.059180305853692e-09,0.9168210351,0.9180273950620644,0.0012063599620643,2.8000569287366792e-08,0.4785114642629428,0.5214885357370572,E,aa,7
aadA13,0.9361105849530096,1.99647,1.14722147176586e-09,0.9698890423,0.9698599053545808,2.9136945419172555e-05,5.435622804621451e-07,0.4921647680435061,0.5078352319564939,G,aa,7
aadA24,0.9285782574050512,1.99647,1.081230477350826e-09,0.920781232,0.9199959144019164,0.0007853175980835,3.564016048823757e-08,0.4789060694063622,0.5210939305936377,E,aa,8
aadA24,0.9336802589819378,1.99647,1.1729301798419615e-09,0.9546200302,0.9540981627752428,0.0005218674247571,9.0981410442392e-07,0.4884532758832451,0.5115467241167548,G,aa,8
aacC13,0.9288108651629609,1.99647,1.118055626856855e-09,0.9224326023,0.9216109138486228,0.0008216884513772,2.354632769336459e-07,0.479570815422991,0.5204291845770089,E,aa,9
aacC13,0.9279247935179464,1.99647,1.1176266171164286e-09,0.9170552172,0.9171040664301168,4.884923011660991e-05,2.340889532502516e-07,0.4785006986157383,0.5214993013842616,G,aa,9
aacC6,0.9324991041968274,1.99647,1.0480894866547983e-09,0.9453982859,0.945564509872666,0.000166223972666,4.708932236201525e-08,0.4860015180743018,0.5139984819256981,E,aa,10
aacC6,0.9404450028789416,1.99647,1.1677144053601583e-09,0.9999285183,0.9992461249279228,0.000682393372077,8.161531635652861e-07,0.4997470236876138,0.5002529763123861,G,aa,10
sat2,0.932465575832545,1.99647,1.080121244744207e-09,0.9463740999,0.9464190984599335,4.499855993356228e-05,2.3447273193102067e-08,0.4862027414833748,0.5137972585166253,E,aa,11
sat2,0.9404818100736596,1.99647,1.2401825408146243e-09,1.001518071,1.000468718024128,0.0010493529758719,3.110412598177697e-06,0.4997079555183182,0.5002920444816817,G,aa,11
aacA51,0.9328715819943606,1.99647,1.158191338076352e-09,0.9481847157,0.948035299048013,0.0001494166519869,7.75429548657159e-07,0.4864699991232579,0.5135300008767422,E,aa,12
aacA51,0.9396689107133432,1.99647,1.1535289214895343e-09,0.9928387836,0.9938156518613422,0.0009768682613422,6.077873068612778e-07,0.4986837580224145,0.5013162419775855,G,aa,12
aadA28,0.9345768979064306,1.99647,1.1343368070098863e-09,0.9607436544,0.9598726867693232,0.0008709676306768,3.812481293096151e-07,0.4898110347982629,0.5101889652017371,E,aa,13
aadA28,0.936678361905534,1.99647,1.1035856795896554e-09,0.9747200208,0.9741120856106938,0.0006079351893061,1.152968001546784e-07,0.4935623947618418,0.5064376052381583,G,aa,13
aacA35,0.9355811120874966,1.99647,1.2124459377085215e-09,0.9662681628,0.9675712253153612,0.0013030625153612,1.6395496783767549e-06,0.4916513053441899,0.50834869465581,E,aa,14
aacA35,0.9385544009781698,1.99647,1.084491662130611e-09,0.985412573,0.9864646175090274,0.0010520445090274,5.456116781770002e-08,0.4970273001228835,0.5029726998771165,G,aa,14
aacC5,0.9354532677877488,1.99647,1.16837543118422e-09,0.966852302,0.9659907630706668,0.0008615389293332,8.318710021524987e-07,0.4912473401736477,0.5087526598263522,E,aa,15
aacC5,0.933670980542643,1.99647,1.0902827372925335e-09,0.9545505936,0.9526049772175772,0.0019456163824228,5.259651333057795e-08,0.4877271169921242,0.5122728830078758,G,aa,15
aacA29,0.9372966830474548,1.99647,1.1792237757297947e-09,0.9779782416,0.978197690986989,0.000219449386989,1.0394849627536103e-06,0.4948145106983365,0.5051854893016635,E,aa,16
aacA29,0.9394152139335948,1.99647,1.0547226351276608e-09,0.9926444773,0.993148920357691,0.0005044430576909,1.8313865035360076e-08,0.4983626414934746,0.5016373585065252,G,aa,16
aadA29,0.9380194739212318,1.99647,1.089144033955149e-09,0.9829178339,0.9831951283608428,0.0002772944608426,4.53174356633356e-08,0.4957611249228199,0.5042388750771801,E,aa,17
aadA29,0.9413682619438034,1.99647,1.0846902016613895e-09,1.006123055,1.006492021433188,0.000368966433188,2.6856738717401092e-08,0.5018851112036159,0.4981148887963842,G,aa,17
aacC1,0.9386296374840534,1.99647,1.1048585714677022e-09,0.9867309946,0.9872636363591608,0.0005326417591607,1.236758129149541e-07,0.4969677772127535,0.5030322227872464,E,aa,18
aacC1,0.939653975391107,1.99647,1.0746907500412823e-09,0.9943384308,0.9950625378961964,0.0007241070961964,1.1405550429759431e-08,0.4988582525611807,0.5011417474388193,G,aa,18
aacA52,0.9394727213245716,1.99647,1.0885512734737431e-09,0.9921375161,0.9932001852471166,0.0010626691471166,4.3492323171057844e-08,0.4983041948891054,0.5016958051108945,E,aa,19
aacA52,0.9376760972297016,1.99647,1.053311340184822e-09,0.979586455,0.9798128110376232,0.0002263560376233,2.6726389017219626e-08,0.4944272733669004,0.5055727266330995,G,aa,19
aadA10,0.940933913922971,1.99647,1.1154250012473619e-09,1.002513441,1.003427585290894,0.0009141442908939,1.975092773455033e-07,0.5007173411180621,0.4992826588819379,E,aa,20
aadA10,0.9415539490846182,1.99647,1.2398575243142467e-09,1.007925504,1.006164520750919,0.001760983249081,2.250365473134405e-06,0.5014488825527809,0.4985511174472192,G,aa,20
aacA38,0.94103238322009,1.99647,1.0471752780903704e-09,1.003815045,1.0038234969177038,8.451917703711231e-06,4.9318044418110616e-08,0.5009203342228256,0.4990796657771744,E,aa,21
aacA38,0.94125130989657,1.99647,1.2427285174022611e-09,1.004999077,1.0052589113473414,0.0002598343473414,2.352206190135321e-06,0.5017744136517246,0.4982255863482754,G,aa,21
aadA34,0.9413135697103135,1.99647,1.1731547261512231e-09,1.005902733,1.0056957570092342,0.0002069759907659,9.108533783056572e-07,0.5014484604650665,0.4985515395349334,E,aa,22
aadA34,0.9423236333074893,1.99647,1.1070829830217072e-09,1.012627802,1.013314208680271,0.0006864066802707,1.448957568091829e-07,0.5036268181455866,0.4963731818544133,G,aa,22
aacA37,0.942281208117479,1.99647,1.060220707245252e-09,1.013023224,1.0117191501531464,0.0013040738468537,6.070168391951685e-08,0.5032551612287103,0.4967448387712898,E,aa,23
aacA37,0.9418833253733984,1.99647,1.0760842414894216e-09,1.009888879,1.0106339465565446,0.0007450675565445,1.906428953365952e-08,0.5028065747750624,0.4971934252249376,G,aa,23
aacA50,0.94260203328272,1.99647,1.1210000186469532e-09,1.013743672,1.014919192235615,0.0011755202356151,2.430671357005802e-07,0.5033712050759372,0.4966287949240627,E,aa,24
aacA50,0.9395471707221268,1.99647,1.2027510026177211e-09,0.9937761665,0.9933468532609788,0.0004293132390212,1.445154340161585e-06,0.4982741013960398,0.5017258986039603,G,aa,24
aadA2,0.943383167612502,1.99647,1.0749135952993198e-09,1.019426286,1.0191240875004592,0.0003021984995408,3.132931405310076e-08,0.504533180832013,0.4954668191679869,E,aa,25
aadA2,0.9388588409685796,1.99647,1.046414965056609e-09,0.9892920238,0.9875241521420332,0.0017678716579668,3.97020775218594e-08,0.4968811710841221,0.503118828915878,G,aa,25
aadA7,0.944880214283525,1.99647,1.156262230680042e-09,1.030196675,1.0299167179473256,0.0002799570526743,6.44859821557148e-07,0.5068155422750588,0.4931844577249412,E,aa,26
aadA7,0.945142117234492,1.99647,1.1484384914269723e-09,1.032408204,1.030954241306533,0.0014539626934673,5.476580201949035e-07,0.5076967563712201,0.4923032436287798,G,aa,26
aadA4,0.9448454540943428,1.99647,1.2397801316040072e-09,1.031222632,1.0289059376814615,0.0023166943185384,2.254892865723364e-06,0.5073989271162294,0.4926010728837706,E,aa,27
aadA4,0.9418203644882523,1.99647,1.091005306957399e-09,1.008897947,1.0090936106047848,0.0001956636047848,5.267691195447921e-08,0.502250682289096,0.4977493177109039,G,aa,27
aacA48,0.9452793384518012,1.99647,1.0467356500742112e-09,1.032983586,1.033492735572147,0.0005091495721469,4.7646971758364616e-08,0.5081336244072532,0.4918663755927467,E,aa,28
aacA48,0.9419707839952036,1.99647,1.2345994933893002e-09,1.008517247,1.0084289515701037,8.829542989619021e-05,2.451148734530837e-06,0.5018144021520947,0.4981855978479053,G,aa,28
aacC11,0.9457606326478416,1.99647,1.1472364721900761e-09,1.037211388,1.0361187876747218,0.0010926003252782,5.29422991353329e-07,0.5094471119061561,0.4905528880938438,E,aa,29
aacC11,0.9390947347043684,1.99647,1.2296770399613019e-09,0.9885283091,0.9911204334523224,0.0025921243523224,2.9875334324330235e-06,0.4978945340576799,0.50210546594232,G,aa,29
aphA15,0.9467770797814196,1.99647,1.1757628253092758e-09,1.04319276,1.0435102380060828,0.0003174780060828,9.43544525042326e-07,0.5106008802676678,0.4893991197323322,E,aa,30
aphA15,0.9419015384992184,1.99647,1.094749032104523e-09,1.00987136,1.0097018293288629,0.0001695306711373,7.351987732282455e-08,0.5024189793104139,0.4975810206895862,G,aa,30
aadA6,0.9477497478535344,1.99647,1.1881130371184519e-09,1.051029066,1.0506114432084823,0.0004176227915173,1.167551159528328e-06,0.5123124805386257,0.4876875194613743,E,aa,31
aadA6,0.9446300139130394,1.99647,1.232995244083423e-09,1.028830499,1.0274448793864484,0.0013856196135515,2.0885833749366035e-06,0.5067430796646953,0.4932569203353047,G,aa,31
aacA8,0.949842588459651,1.99647,1.1022605332027064e-09,1.066112057,1.0659139250177878,0.0001981319822121,1.258169460671968e-07,0.5162042143326314,0.4837957856673686,E,aa,32
aacA8,0.9274048198402788,1.99647,1.1524758642244874e-09,0.913585111,0.9144464321705786,0.0008613211705786,6.143322684239253e-07,0.4777189441595129,0.522281055840487,G,aa,32
aacA31,0.9498323380915752,1.99647,1.1636607827642875e-09,1.066416941,1.065116330852978,0.0013006101470218,7.7060127858614e-07,0.5157783030246392,0.4842216969753609,E,aa,33
aacA31,0.9396327289290436,1.99647,1.2198607072766863e-09,0.9935031228,0.9955384816701895,0.0020353588701896,1.790005105592049e-06,0.4983989265257114,0.5016010734742885,G,aa,33
aacA4,0.9506184450864248,1.99647,1.128281157503202e-09,1.071739373,1.0714786056548322,0.0002607673451677,3.204957776035417e-07,0.5173906055196744,0.4826093944803254,E,aa,34
aacA4,0.9414561118207976,1.99647,1.082376016109008e-09,1.005793653,1.0057588893642206,3.476363577936681e-05,6.793515312249075e-08,0.5012698607078595,0.4987301392921404,G,aa,34
aacA34,0.9508585338468416,1.99647,1.148944081584444e-09,1.072928025,1.0725807496959792,0.0003472753040207,5.579597926642114e-07,0.5177271833901125,0.4822728166098875,E,aa,35
aacA34,0.9375484433031508,1.99647,1.135841684176278e-09,0.9794294826,0.9804986979290384,0.0010692153290383,3.945278388812254e-07,0.4951551599830801,0.5048448400169199,G,aa,35
aacA7,0.9508559045978212,1.99647,1.057303879562542e-09,1.073852311,1.0723516484050302,0.0015006625949698,2.4589565217108296e-08,0.5174931334585923,0.4825068665414077,E,aa,36
aacA7,0.9326919467907842,1.99647,1.1614072999449679e-09,0.9469156654,0.947630280208092,0.0007146148080918,7.24906676153642e-07,0.486370624587398,0.5136293754126019,G,aa,36
aacA2,0.9530953384130134,1.99647,9.506930844648203e-10,1.09047811,1.0919749740824518,0.0014968640824517,1.3510140659785235e-06,0.5220608989902809,0.4779391010097191,E,aa,37
aacA2,0.944224672919288,1.99647,1.089150036847614e-09,1.025403914,1.0252587586595237,0.0001451553404763,4.7224867070888057e-08,0.5064211546346281,0.4935788453653719,G,aa,37
aacA27,0.9535841783148492,1.99647,1.1228506779524652e-09,1.094006696,1.092648328808675,0.0013583671913248,2.911660313256145e-07,0.5220723819622435,0.4779276180377566,E,aa,38
aacA27,0.9365757634302444,1.99647,1.1765700180858262e-09,0.9736797816,0.973139465535068,0.0005403160649318,9.55424597193161e-07,0.4931486339574673,0.5068513660425327,G,aa,38
aacC2,0.9540793588381778,1.99647,1.0380602971817863e-09,1.098398418,1.0969560148173336,0.0014424031826663,1.842166577478208e-07,0.5233998786318974,0.4766001213681026,E,aa,39
aacC2,0.9396209408068854,1.99647,1.117158810596295e-09,0.9941826868,0.9937787381471388,0.0004039486528611,2.153508344475211e-07,0.4985592074365375,0.5014407925634625,G,aa,39
aacA3,0.9544638672345712,1.99647,1.236911084201313e-09,1.099706049,1.0988750861364351,0.0008309628635647,2.1990510134831123e-06,0.523699676029056,0.476300323970944,E,aa,40
aacA3,0.9419010981004738,1.99647,1.1724497267457654e-09,1.010275501,1.0089329718089382,0.0013425291910618,8.857313054551971e-07,0.5019093099223906,0.4980906900776093,G,aa,40
aacA59,0.9547806366975318,1.99647,1.0220510553742943e-09,1.101763503,1.1031628414394656,0.0013993384394657,2.275888846370118e-07,0.5245390989957559,0.475460901004244,E,aa,41
aacA59,0.9421074230266184,1.99647,1.2257471745709412e-09,1.010428487,1.0105081136278724,7.962662787242003e-05,1.9204117279470965e-06,0.5028743281433963,0.4971256718566036,G,aa,41
aacA45,0.9549111161569258,1.99647,1.1487550490781735e-09,1.102154536,1.1037140782184345,0.0015595422184342,5.653964435644268e-07,0.5248990907176078,0.4751009092823922,E,aa,42
aacA45,0.9412232967417644,1.99647,1.100033740287455e-09,1.003670623,1.0050290533699704,0.0013584303699702,1.0081190761628853e-07,0.5010936179792687,0.4989063820207314,G,aa,42
aadA5,0.955436950971142,1.99647,1.112405735878833e-09,1.106849983,1.107345743828195,0.000495760828195,2.1484289114054094e-07,0.5258908047206339,0.474109195279366,E,aa,43
aadA5,0.943935526481992,1.99647,1.0975669063825926e-09,1.022657302,1.0230229739777528,0.0003656719777527,8.165667218463223e-08,0.5060689123333073,0.4939310876666927,G,aa,43
aacA47,0.9564473600740264,1.99647,1.0019957532460732e-09,1.114106297,1.1157776355472322,0.0016713385472322,4.371818980340861e-07,0.5275908280128379,0.4724091719871622,E,aa,44
aacA47,0.937273383237204,1.99647,1.170670763410819e-09,0.9778986218,0.9784716784994902,0.0005730566994902,8.623415273082621e-07,0.4943992857941954,0.5056007142058044,G,aa,44
aacA42,0.9610535682257102,1.99647,1.1070148800053952e-09,1.150572748,1.151075697503807,0.0005029495038069,1.8538759067514205e-07,0.5350798722721253,0.4649201277278748,E,aa,45
aacA42,0.9290379832174026,1.99647,1.1593763951741655e-09,0.9240701186,0.9242513319602152,0.0001812133602151,7.099071834929485e-07,0.4800319725484668,0.519968027451533,G,aa,45
aadA11,0.9615704980396972,1.99647,1.1896544783345643e-09,1.153577129,1.153920098019735,0.0003429690197349,1.2331480341688567e-06,0.5356725597728955,0.4643274402271045,E,aa,46
aadA11,0.9402505282401326,1.99647,1.0751316535725423e-09,0.9985808743,1.0002317639836669,0.0016508896836668,9.13794904429084e-09,0.5001779439452256,0.4998220560547743,G,aa,46
aphA16,0.9651525294004434,1.99647,1.1586040036488243e-09,1.182907789,1.1819927061613809,0.000915082838619,7.650457089358043e-07,0.5418920295781107,0.4581079704218892,E,aa,47
aphA16,0.8984916278717003,1.99647,1.0930068349281147e-09,0.7470952244,0.7459978529289755,0.0010973714710245,2.849021926620294e-07,0.4274258166274395,0.5725741833725604,G,aa,47
x_0048,0.9540144574074421,1.99647,1.0953477284955466e-09,1.0964490977329764,1.0965484661208158,9.936838783941582e-05,8.666210700610903e-08,0.5229836698638518,0.4770163301361482,E,aa,48
x_0048,0.9352883557609691,1.99647,1.07192024678019e-09,0.9646489727567374,0.9644460107727015,0.00020296198403590981,9.55350333121178e-09,0.49089034893857597,0.509109651061424,G,aa,48
x_0049,0.9242461544447589,1.99647,1.0246661331222384e-09,0.8933879613774285,0.8948898237583679,0.0015018623809394116,2.0293498559410262e-07,0.4720608662110741,0.527939133788926,E,aa,49
x_0049,0.9383035541045028,1.99647,1.2425757460443588e-09,0.984044598506042,0.9840512432621211,6.644756079143832e-06,2.3472718730988067e-06,0.4961983232977591,0.5038016767022411,G,aa,49
x_0050,0.9292904209775387,1.99647,1.2197501526036113e-09,0.9254286834882874,0.9262102816722871,0.0007815981839996988,1.8029826803833908e-06,0.48118992990115955,0.5188100700988405,E,aa,50
x_0050,0.9409981510216507,1.99647,1.095915908032988e-09,1.0030459486925871,1.0026388929528978,0.0004070557396893548,7.123457494210212e-08,0.5002769017345143,0.49972309826548567,G,aa,50
x_0051,0.949558149675305,1.99647,1.0600798902729734e-09,1.0636989575856854,1.0635318846013864,0.00016707298429907702,1.274924179146331e-08,0.5156977130600094,0.48430228693999056,E,aa,51
x_0051,0.9415122140043171,1.99647,1.0536079275374719e-09,1.0060831864704685,1.0067719039709802,0.000688717500511693,1.6342967621562804e-08,0.5018315027022662,0.4981684972977337,G,aa,51
x_0052,0.9457332147629254,1.99647,1.1319693622571468e-09,1.036665557451909,1.0372449140432252,0.000579356591316138,3.716551568441225e-07,0.5089253812629178,0.4910746187370822,E,aa,52
x_0052,0.9351359892924969,1.99647,1.1904296409552787e-09,0.9647480009007358,0.9647391310046741,8.86989606163624e-06,1.2226437539461442e-06,0.49072187388270583,0.5092781261172942,G,aa,52
x_0053,0.9407551182822813,1.99647,1.1150682731330451e-09,1.0018319078071904,1.0012634918962011,0.0005684159109893283,1.9339868425928413e-07,0.500238041831303,0.49976195816869706,E,aa,53
x_0053,0.9263094171685321,1.99647,1.1785753114041447e-09,0.9072864243881567,0.9069756667058915,0.00031075768226518363,1.0250667821426896e-06,0.4756531731939001,0.5243468268061,G,aa,53
x_0054,0.9256817610406203,1.99647,1.2146212576568131e-09,0.9032581296284088,0.9033081206479082,4.999101949942908e-05,1.706615290941868e-06,0.4742657451799961,0.5257342548200038,E,aa,54
x_0054,0.9320550012788336,1.99647,1.0936633155825627e-09,0.9439249636380663,0.9442454239692711,0.0003204603312048082,7.247884933641932e-08,0.4856425342677236,0.5143574657322766,G,aa,54
x_0055,0.9282750021904331,1.99647,1.1033702897599166e-09,0.9190193136978068,0.9196944615751158,0.0006751478773090458,1.3168865922937109e-07,0.47902584404826515,0.5209741559517348,E,aa,55
x_0055,0.9380683542297467,1.99647,1.1388379410688819e-09,0.9822162398061124,0.9834621489873486,0.0012459091812362377,4.251617289500342e-07,0.4953802693852043,0.5046197306147958,G,aa,55
x_0056,0.9208112831228635,1.99647,1.1144903640958012e-09,0.8730646775137528,0.8731530240601884,8.834654643552486e-05,2.3720630099919277e-07,0.4661027256908952,0.5338972743091048,E,aa,56
x_0056,0.9320450268009759,1.99647,1.1081825372414665e-09,0.9434228081506586,0.9429104439548069,0.0005123641958516556,1.520924600115771e-07,0.4852291848020332,0.5147708151979669,G,aa,56
x_0057,0.9456597205054795,1.99647,1.211400976164067e-09,1.0351953819316009,1.0354565404957825,0.0002611585641816294,1.6098328205461451e-06,0.5083457150385112,0.4916542849614888,E,aa,57
x_0057,0.9397754019491894,1.99647,1.1288946671891054e-09,0.9955698129724193,0.9958240873577303,0.0002542743853110041,3.167729606032071e-07,0.49888520052262275,0.5011147994773771,G,aa,57
x_0058,0.9677140584524802,1.99647,1.182794370999261e-09,1.2027322301943415,1.2020776813769967,0.0006545488173448355,1.1448819683734181e-06,0.5456401860334542,0.4543598139665458,E,aa,58
x_0058,0.9441533466019504,1.99647,1.231186216435506e-09,1.0241631206035082,1.0254023786777058,0.0012392580741975578,2.086166414699153e-06,0.5063036308442976,0.49369636915570225,G,aa,58
x_0059,0.9202164230874114,1.99647,1.0820612383267727e-09,0.8693870326176859,0.8697348340663917,0.0003478014487058312,7.191393437325123e-08,0.46497591684335937,0.5350240831566405,E,aa,59
x_0059,0.9444010397027889,1.99647,1.1022789082022151e-09,1.0268549544613335,1.027443909684437,0.0005889552231035378,1.0979449624357156e-07,0.5068680213302931,0.49313197866970704,G,aa,59
x_0060,0.9316804244303707,1.99647,1.1774085539313691e-09,0.9412629875814935,0.941975914997426,0.0007129274159324295,9.782121094993386e-07,0.4850851101037596,0.5149148898962403,E,aa,60
x_0060,0.9357199216645253,1.99647,1.152308077033373e-09,0.9697678796800779,0.9671222373160498,0.002645642364028089,2.2104030055040962e-06,0.49166494932701094,0.508335050672989,G,aa,60
