label,Vmax,K,c,target_w,achieved_w,abs_err,loss,fA_end,fB_end,Environment,family,pair_idx
dfrA31,0.917356316743132,1.99647,1.0947752986703156e-09,0.8518426309,0.8526018856203649,0.0007592547203648,1.4166796388482257e-07,0.4599836533288163,0.5400163466711838,E,dfr,0
dfrA31,0.9273929579783672,1.99647,9.637740754002675e-10,0.9121071137,0.9141587960230176,0.0020516823230176,1.169250391288748e-06,0.4776077879199748,0.5223922120800252,G,dfr,0
dfrB4,0.9200167628495768,1.99647,1.10831379082701e-09,0.8680099134,0.8684505536116953,0.0004406402116953,1.9632196685980677e-07,0.465141786286052,0.534858213713948,E,dfr,1
dfrB4,0.9244084394131118,1.99647,1.2346798976717203e-09,0.8953803989,0.8949515640734925,0.0004288348265074,2.173649254090535e-06,0.4721449977956467,0.5278550022043533,G,dfr,1
dfrB2,0.9233230187846192,1.99647,1.0794598473067023e-09,0.8887933449,0.8880790973931229,0.000714247506877,9.350999516310005e-08,0.470477832493924,0.5295221675060761,E,dfr,2
dfrB2,0.9404048699088484,1.99647,1.1308180272757916e-09,0.9996893884,1.000567363082392,0.0008779746823919,3.379690251094752e-07,0.5003009489666931,0.4996990510333068,G,dfr,2
dfrA7,0.9253449392351684,1.99647,1.113314956288547e-09,0.900584686,0.9003729845379315,0.0002117014620685,2.270210127384936e-07,0.4735282567273607,0.5264717432726392,E,dfr,3
dfrA7,0.9186127747203178,1.99647,1.0509275357767947e-09,0.8589553858,0.8601737251952922,0.0012183393952922,8.27818820876822e-08,0.4627932167012457,0.5372067832987543,G,dfr,3
dfrB8,0.9337302982477362,1.99647,1.1084309042305199e-09,0.954129608,0.9538194611701692,0.0003101468298307,1.5225271174777238e-07,0.4880956545993895,0.5119043454006105,E,dfr,4
dfrB8,0.9344494782193046,1.99647,1.1069995664521158e-09,0.9582273826,0.958714869483264,0.0004874868832641,1.4367585929701993e-07,0.4899959356815468,0.510004064318453,G,dfr,4
dfrA12,0.9336634551203584,1.99647,1.239630588599307e-09,0.9545913263,0.954934647956068,0.0003433216560679,2.2515169183351507e-06,0.4885736561809017,0.5114263438190984,E,dfr,5
dfrA12,0.9311742309533124,1.99647,1.1505118074294231e-09,0.9376131399,0.9385825533214468,0.0009694134214467,5.783347422992196e-07,0.4846028564868326,0.5153971435131672,G,dfr,5
dfrB9,0.9340598228388182,1.99647,1.2383278941782906e-09,0.9567871103,0.9564130331934624,0.0003740771065376,2.219424944568644e-06,0.4886406146663739,0.511359385333626,E,dfr,6
dfrB9,0.9356390702604706,1.99647,1.0484354663039166e-09,0.9665808015,0.9661074266978908,0.0004733748021092,3.5034322377517355e-08,0.4916084004776878,0.5083915995223122,G,dfr,6
dfrA5,0.9360658842602456,1.99647,1.120888634495413e-09,0.9690840403,0.9695035710195716,0.0004195307195717,2.4752607875869134e-07,0.4922051246174158,0.5077948753825843,E,dfr,7
