label,Vmax,K,c,target_w,achieved_w,abs_err,loss,fA_end,fB_end,Environment,family,pair_idx
qacEDsul1,0.9188753354503274,1.99647,1.075853077434468e-09,0.8608901894,0.8607735749652398,0.0001166144347601,2.036509436045297e-07,0.4626228154377433,0.5373771845622568,E,mix,0
qacEDsul1,0.9305709959942592,1.99647,1.1205324503702504e-09,0.9344882338,0.9355546904369664,0.0010664566369663,2.539552474566568e-07,0.4834239113144991,0.5165760886855009,G,mix,0
qacE,0.9194227066768988,1.99647,1.1151786686628335e-09,0.8650328237,0.8653208105594675,0.0002879868594675,2.531672669255062e-07,0.4637322316296062,0.5362677683703938,E,mix,1
qacE,0.9416012255442104,1.99647,1.0808985619278863e-09,1.007081901,1.007940700823018,0.000858799823018,1.7266504671573876e-08,0.502165450945194,0.4978345490548059,G,mix,1
qacM,0.9216632505171404,1.99647,1.138153992240849e-09,0.8788802929,0.8782091605406112,0.0006711323593888,4.988686476262536e-07,0.4674626965334131,0.5325373034665868,E,mix,2
qacM,0.9385580436925024,1.99647,1.2401011239090822e-09,0.9868010407,0.987116678626314,0.000315637926314,2.2581524292002995e-06,0.4966747572568356,0.5033252427431644,G,mix,2
fosK,0.9226637552918918,1.99647,1.2021276948118675e-09,0.8847219305,0.8842190031609958,0.0005029273390042,1.458594647366924e-06,0.4688920056727984,0.5311079943272015,E,mix,3
fosK,0.932365145255979,1.99647,1.136667679903092e-09,0.9455724768,0.9456983237339348,0.0001258469339349,4.445203427835691e-07,0.4859283809749458,0.5140716190250542,G,mix,3
qacG,0.9237835939100432,1.99647,1.2464965699416035e-09,0.8903628339,0.8918682487408193,0.0015054148408192,2.6304422533113995e-06,0.4716942935250768,0.5283057064749231,E,mix,4
qacG,0.9370301765299994,1.99647,1.2397801316040074e-09,0.9780389927,0.9773675864431228,0.0006714062568771,3.257321210190927e-06,0.4943834478937084,0.5056165521062915,G,mix,4
fosN,0.9262030069992384,1.99647,1.1120205353769887e-09,0.9061549968,0.9065171968241964,0.0003622000241964,2.536018726383318e-07,0.4752216071235395,0.5247783928764604,E,mix,5
fosN,0.9362031135565024,1.99647,1.1306176232710656e-09,0.9710149211,0.970682334571754,0.0003325865282459,3.389082194713598e-07,0.4926770494683218,0.5073229505316781,G,mix,5
catB2,0.9270495402332708,1.99647,1.1194579489416164e-09,0.9108554227,0.9124328449388728,0.0015774222388726,2.5222340188168334e-07,0.4765208245243024,0.5234791754756976,E,mix,6
catB2,0.9161014362777272,1.99647,1.1727108583612418e-09,0.844848363,0.8452462531817613,0.0003978901817612,1.0224507334669753e-06,0.4580597187080856,0.5419402812919143,G,mix,6
catB5,0.9314693785243492,1.99647,1.0859682971428704e-09,0.9404018776,0.9399037352681932,0.0004981423318068,6.141665187091679e-08,0.4844323179640268,0.5155676820359731,E,mix,7
